loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
32713,0.0324,1.35,0.31,-1.947
32718,0.0304,1.385,0.3,-1.948
32719,0.0486,1.521,0.3,-1.948
32720,0.052,1.57,0.31,-1.947
32726,0.0936,1.727,0.21,-2.356
32729,0.0875,1.43,0.19,-2.526
32730,0.0957,1.635,0.21,-2.488
32731,0.0946,1.73,0.22,-2.42
32732,0.02675,1.282,0.21,-2.356
32734,0.02734,1.169,0.21,-2.488
32736,0.027,1.272,0.22,-2.42
32737,0.01848,1.242,0.25,-2.146
32739,0.01251,0.696,0.33,-1.839
32741,0.01239,0.685,0.33,-1.839
32743,0.0331,0.982,0.33,-1.839
32744,0.0327,0.941,0.33,-1.839
32746,0.04,0.981,0.33,-1.839
32750,0.0404,1.088,0.5,-1.387
32752,0.00622,1.303,0.19,-2.565
32758,0.02037,0.975,0.29,-2.064
32762,0.0417,4.7,0.58,-1.125
32763,0.00978,1.212,0.18,-2.638
32765,0.00969,1.12,0.17,-2.697
32767,0.029392,2.31,0.17,-2.697
32769,0.02961,2.438,0.18,-2.638
32770,0.01992,1.032,0.18,-2.638
32771,0.01875,1.32,0.16,-2.841
32773,0.03984,1.367,0.16,-2.841
32781,0.01195,1.325,0.38,-1.783
32785,0.01203,1.35,0.38,-1.777
32788,0.0757,2.39,0.38,-1.783
32791,0.0762,2.42,0.38,-1.777
32794,0.01679,4.72,0.95,-0.149
32802,0.043,16.814,2.1,1.176
32803,0.040352,17.901,2.08,1.083
32806,0.047,17.15,1.92,1.087
32927,0.0549,12.801,1.79,0.517
32943,0.0504,14.202,1.24,0.283
32945,0.0479,13.608,1.64,0.446
32946,0.0388,11.467,0.86,-0.292
32958,0.01677,14.863,0.75,-0.592
33273,0.0434,14.011,1.17,0.188
33289,0.04689,11.781,0.83,-0.397
33300,0.02289,12.251,0.77,-0.529
33310,0.03035,13.45,1.32,0.371
33337,22.0,14.572,1.26,-0.456
33347,0.833,9.337,0.95,-0.058
33348,0.828,10.12,1.0,-0.102
33382,0.02332,12.812,0.8,-0.438
33396,0.0286,17.295,1.25,0.3
33411,0.03783,12.285,1.27,0.279
33414,0.02803,12.722,0.85,-0.318
33421,0.04127,12.408,1.08,0.056
33426,0.0423,11.904,0.72,-0.514
33431,0.0352,19.055,1.56,0.563
33433,0.0474,14.404,1.31,0.228
33438,0.0234,11.31,0.7,-0.821
33465,0.1207,12.52,1.09,0.078
33469,0.051,16.701,1.82,0.61
33470,0.369,11.209,1.06,0.097
33478,0.06152,2.587,0.73,-0.623
33481,0.09429,2.651,0.73,-0.623
33485,0.0561,14.572,1.81,0.671
33489,0.04394,3.65,0.69,-0.854
33493,0.07098,16.814,0.69,-0.854
33496,0.082,9.02,1.16,0.231
33516,0.03428,8.597,0.96,-0.135
33517,0.04988,10.514,1.45,0.304
33520,0.0287,2.415,0.51,-1.469
33522,0.0392,2.72,0.33,-1.854
33528,0.0886,9.572,0.56,-2.6
33530,0.1288,3.65,0.48,-1.487
33532,0.03826,1.694,0.62,-1.054
33535,0.03845,1.738,0.63,-1.097
33544,0.05186,2.726,0.85,-0.285
33545,0.0521,2.755,0.85,-0.293
33550,0.0814,2.759,0.85,-0.285
33551,0.0818,2.79,0.85,-0.293
33552,0.137,2.93,0.85,-0.285
33558,0.0366,2.34,0.65,-0.857
33559,0.0367,2.41,0.67,-0.889
33561,0.0657,2.76,0.67,-0.889
33562,0.0656,2.82,0.65,-0.857
33563,0.1116,3.12,0.67,-0.889
33566,0.0745,2.458,0.42,-1.58
33567,0.0728,2.62,0.44,-1.538
33569,0.1047,2.13,0.44,-1.538
33572,0.1037,1.673,0.42,-1.58
33583,0.0549,11.097,1.06,0.029
33585,0.095,12.218,0.57,-1.212
33592,0.0497,13.798,1.66,0.39
33594,0.059,9.427,1.41,0.334
33597,0.026,3.42,0.9,-0.222
33600,0.0626,15.648,1.93,0.713
33610,0.1732,6.053,1.01,0.017
33620,0.071,11.89,0.92,-0.152
33622,0.108,3.96,1.02,0.048
33625,0.046,16.701,1.92,1.068
33632,0.061,1.672,0.28,-2.155
33633,0.051,1.833,0.47,-1.373
33639,0.0285,2.18,0.47,-1.425
33641,0.106,2.47,0.47,-1.425
33644,0.0903,11.882,1.05,-0.013
33646,0.07037,14.067,1.53,0.497
33654,0.03138,14.415,1.17,0.02
33659,0.06864,13.888,2.19,0.732
33660,0.058,16.69,1.65,0.636
33664,0.01545,1.79,0.45,-1.539
33666,0.0149,1.749,0.45,-1.578
33674,0.03144,1.466,0.21,-2.363
33676,0.011557,1.459,0.46,-1.567
33682,0.03524,12.173,1.29,0.253
33689,0.033548,1.9,0.52,-1.354
33692,0.0235,3.24,0.29,-2.125
33693,0.0229,3.09,0.28,-2.148
33697,0.164,5.15,0.95,-0.048
33698,0.0914,10.817,1.78,0.461
33704,0.0391,5.05,0.62,-1.056
33706,0.074,2.44,1.15,0.25
33708,0.0742,1.695,0.75,-0.524
33718,0.1176,3.06,0.63,-1.051
33720,0.1177,3.14,0.6,-1.057
33721,0.02607,1.152,0.65,-0.879
33723,0.037,1.669,0.65,-0.879
33725,0.0592,2.572,0.65,-0.879
33726,0.0783,2.207,0.65,-0.879
33728,0.1039,2.287,0.65,-0.879
33729,0.1275,2.87,0.65,-0.879
33732,0.04882,16.141,2.17,0.736
33736,0.00812,1.258,0.68,-0.671
33738,0.012,1.37,0.69,-0.668
33740,0.0539,6.956,0.74,-0.526
33742,0.04389,11.142,0.77,-0.56
33745,0.1001,11.657,2.02,0.74
33748,0.0213,3.46,0.81,-0.432
33757,0.01932,13.978,1.08,0.08
33760,0.4254,9.079,0.82,-0.338
33764,0.0613,13.675,2.3,1.223
33765,0.04271,2.7,1.13,0.06
33768,0.0878,8.14,1.13,0.06
33771,0.3,11.299,1.32,0.415
33773,0.5516,11.814,1.08,0.114
33777,0.0892,11.893,1.46,0.387
33785,0.0632,1.821,0.54,-1.311
33789,0.0631,2.5,0.76,-0.423
33793,0.0885,3.38,0.76,-0.423
33796,0.1138,3.16,0.76,-0.423
33797,0.0752,2.04,0.53,-1.338
33800,0.05006,2.47,0.47,-1.492
33801,0.101,1.3,0.45,-1.478
33802,0.101,1.25,0.44,-1.459
33804,0.138,1.39,0.45,-1.478
33805,0.137,1.33,0.44,-1.459
33807,0.025,1.243,0.23,-2.228
33809,0.04,1.914,0.23,-2.228
33812,0.01791,15.098,1.7,0.673
33813,0.078,2.69,0.71,-0.717
33816,0.371,7.27,0.71,-0.717
33817,0.0533,2.2,0.34,-1.863
